/* Default labels //
75;5,10,$;JPsa;typeOther;label for the character さ which can be an Adjectival Verb ending or something else;0;07-aug-2012-mno;
349;5,10,$;JPza;typeConcept;Label for the character ざ;0;05-jan-2015-mno;
76;5,10,$;JPshi;typeOther;label for the character し which can be a conjunctive particle or something else;0;07-jun-2012-mno;
290;5,10,$;JPji;typeConcept;Label for the Character じ;0;01-feb-2013-mno;
78;5,10,$;JPsu;typeOther;label for the character す which can be a Verb Ending or something else;0;15-aug-2012-mno;
79;5,10,$;JPzu;typeOther;label for the character ず which can be an Auxiliary Verb or something else;0;07-aug-2012-mno;
77;5,10,$;JPse;typeConcept;label for the character せ which can be a Verb Ending of something else;0;04-oct-2012-mno;
300;5,10,$;JPso;typeOther;Label for the Character そ;0;24-may-2013-mno;
80;5,10,$;JPzo;typeOther;label for the character ぞ;0;07-sep-2012-mno;
81;5,10,$;JPta;typeOther;label for the character た which can be an Auxiliary Verb or something else;0;10-aug-2012-mno;
82;5,10,$;JPda;typeOther;label for the character だ, which can be an auxiliary verb or non-auxiliary verb;0;14-06-2012-mno;
83;5,10,$;JPchi;typeOther;label for the character ち, which can be a Verb Ending or something else;0;10-aug-2012-mno;
84;5,10,$;JPtsu;typeRelation;label for the character つ which can be a counting word or something else;0;23-jul-2012-mno;
85;5,10,$;JPte;typeRelation;label for the character て which can be a particle or non-particle;0;03-05-2012-mno;
86;5,10,$;JPde;typeRelation;label for the character で which can be a particle or non-particle;0;01-05-2012-mno;
87;5,10,13,$;JPto;typeRelation;label for the character と which can be a particle or non-particle;0;01-05-2012-mno;
228;5,10,$;JPdo;typeOther;label for the character ど;0;30-oct-2012-mno;
88;5,10,$;JPna;typeOther;label for the character な which can be an Adjectival Noun ending or something else;0;10-jul-2012-mno;
89;5,10,$;JPni;typeRelation;label for the character に which can be a particle or non-particle;0;01-05-2012-mno;
90;5,10,$;JPnu;typeRelation;label for the character ぬ which can be an Auxiliary Verb or something else;0;31-aug-2012-mno;
192;5,10,$;JPne;typeOther;label for the character ね which can be an ending particle or non-particle;0;13-jul-2012-mno;
91;5,10,$;JPno;typeRelation;label for the character の which can be a particle or non-particle;0;01-05-2012-mno;
92;5,10,13,$;JPha;typeOther;label for the character は which can be a particle or non-particle;0;01-05-2012-mno;
93;5,10,$;JPba;typeOther;label for the character ば, which can be a particle or non-particle;0;14-06-2012-mno;
267;5,10,$;JPhi;typeOther;label for the character ひ;0;03-jan-2013-mno;
94;5,10,$;JPbi;typeOther;label for the character び which can be a Verb Ending or something else;0;10-aug-2012-mno;
95;5,10,$;JPbu;typeOther;label for the character ぶ which can be a Verb Ending or something else;0;20-sep-2012-mno;
96;5,10,$;JPhe;typeRelation;label for the character へ, which can be a particle or non-particle;0;14-06-2012-mno;
97;5,10,$;JPbe;typeOther;label for the character べ;0;15-aug-2012-mno;
350;5,10,$;JPho;typeConcept;Label for the character ほ;0;05-may-2015-mno;
283;5,10,$;JPbo;typeOther;Label for the Character ぼ;0;25-jan-2013-mno;
98;5,10,$;JPma;typeOther;label for the character ま which can be Verb Ending or something else;0;20-aug-2012-mno;
195;5,10,$;JPmi;typeRelation;label for the character み which can be an Adjectival Verb ending or something else;0;11-jul-2012-mno;
100;5,10,$;JPmu;typeOther;label for the character む which can be Verb Ending or something else;0;20-sep-2012-mno;
99;5,10,$;JPme;typeRelation;label for the character め which can be Verb Ending or something else;0;21-sep-2012-mno;
101;5,10,$;JPmo;typeOther;label for the character も which can be a particle or non-particle;0;02-05-2012-mno;
102;5,10,$;JPya;typeRelation;label for the character や which can be a particle or non-particle;0;01-05-2012-mno;
257;5,10,$;JPyu;typeOther;Label for the character ゆ;0;20-dec-2012-mno;
203;5,10,$;JPyo;typeOther;label for the character よ which can be an Ending Particle or something else;0;24-jul-2012-mno;
103;5,10,13,$;JPra;typeOther;label for the character ら which can be part of an Auxiliary Verb or something else;0;10-aug-2012-mno;
104;5,10,$;JPri;typeOther;label for the character り which can be a Verb Ending or something else;0;10-aug-2012-mno;
105;5,10,$;JPru;typeOther;label for the character る which can be a Verb Ending or something else;0;16-aug-2012-mno;
106;5,10,$;JPre;typeOther;label for the character れ which can be a Verb Ending or something else;0;07-sep-2012-mno;
107;5,10,$;JPro;typeOther;label for the character ろ which can be a Verb Ending or something else;0;10-aug-2012-mno;
108;5,10,$;JPwa;typeOther;label for the character わ which can be an Ending Particle or something else;0;24-jul-2012-mno;
109;5,10,$;JPn;typeOther;label for the character ん which can be a verb ending or something else;0;07-aug-2012-mno;

/* Multi-Character Hiragana (prior to disambiguation) //
351;5,10,$;JPHiragana;typeConcept;Label for all Hiragana characters;0;21-may-2015;
110;5,10,$;JParu;typeRelation;label for the phrase ある which can be a Verb or something else;0;23-aug-2012-mno;
111;5,10,$;JPita;typeRelation;label for the phrase いた which can be a Verb stem or something else;0;10-aug-2012-mno;
112;5,10,$;JPitara;typeRelation;label for the phrase いたら;0;17-sep-2012-mno;
113;5,10,$;JPima;typeRelation;label for the phrase いま which can be an Adverb or something else;0;17-sep-2012-mno;
114;5,10,$;JPuchi;typeOther;label for the phrase うち which can be a Non-Independent Noun or something else;0;25-sep-2012-mno;
224;5,10,$;JPgata;typeOther;label for the phrase がた which can be an Adjectival Verb Suffix or something else;0;26-oct-2012-mno;
115;5,10,$;JPkatsu;typeRelation;label for the phrase かつ which can be a Conjunction or something else;0;17-sep-2012-mno;
116;5,10,$;JPkatta;typeRelation;label for the phrase かった which can be an Adjectival Verb ending or something else;0;18-jul-2012-mno;
117;5,10,$;JPkattara;typeRelation;label for the phrase かったら which can be an Adjectival Verb ending or something else;0;02-aug-2012-mno;
200;5,10,$;JPkara;typeRelation;label for the phrase から which can be a particle or non-particle;0;03-05-2012-mno;
305;5,10,$;JPkaru;typeRelation;Label for the phrase かる;0;17-jul-2013-mno;
118;5,10,$;JPkereba;typeRelation;label for the phrase ければ which can be an Adjectival Verb ending or something else;0;19-jul-2012-mno;
119;5,10,$;JPkou;typeRelation;label for the phrase こう which can be a Verb Ending or something else;0;19-sep-2012-mno;
120;5,10,$;JPkoso;typeOther;label for the phrase こそ which is a Particle or something else;0;01-oct-2012-mno;
205;5,10,$;JPkoto;typeOther;label for the phrase こと which can be a Non-Independent Noun or something else;0;24-jul-2012-mno;
293;5,10,$;JPkoro;typeOther;Label for the phrase ころ;0;15-feb-2013-mno;
242;5,10,$;JPshika;typeOther;label for the phrase しか, which is a Particle or something else;0;03-dec-2012-mno;
303;5,10,$;JPshikanai;typeRelation;Label for the Phrase しかない;0;20-jun-2013-mno;
121;5,10,$;JPshita;typeRelation;label for the phrase した, which, together sith と, can be an Adjectival Noun TARI ending or something else;0;01-aug-2012-mno;
122;5,10,$;JPshitara;typeRelation;Label for the phrase したら, which is likely a Verb Ending;0;10-aug-2012-mno;
123;5,10,$;JPshitari;typeRelation;Label for the phrase したり, which is likely a Verb Ending;0;10-aug-2012-mno;
124;5,10,$;JPshite;typeRelation;Label for the phrase して, which is likely a Verb Ending;0;24-sep-2012-mno;
298;5,10,$;JPjimai;typeConcept;Label for the phrase じまい;0;09-may-2013-mno;
125;5,10,$;JPja;typeOther;Label for the phrase じゃ;0;07-sep-2012-mno;
344;5,$;JPsugi;typeRelation;Label for the phrase すぎ;0;12-nov-2014-mno;
327;5,$;JPsuru;typeRelation;Label for the phrase する;0;17-jan-2014-mno;
244;5,10,$;JPsei;typeOther;Label for the word せい;0;03-dec-2012-mno;
126;5,10,$;JPsou;typeOther;label for the phrase そう;0;20-aug-2012-mno;
127;5,10,$;JPsouda;typeRelation;label for the phrase そうだ;0;02-aug-2012-mno;
128;5,10,$;JPsouna;typeRelation;label for the phrase そうな which can be an Adjectival Noun ending or something else;0;01-aug-2012-mno;
129;5,10,$;JPsouni;typeRelation;label for the phrase そうに;0;02-aug-2012-mno;
231;5,10,$;JPtai;typeRelation;label for the phrase たい which can be a Verb Ending or something else;0;01-nov-2012-mno;
130;5,10,$;JPdaga;typeRelation;label for the phrase だが;0;31-aug-2012-mno;
276;5,10,$;JPdake;typeRelation;Label for the phrase だけ;0;11-jan-2013-mno;
131;5,10,$;JPdatta;typeOther;label for the character だった, which can be an Adjectival Noun ending or something else;0;23-jul-2012-mno;
132;5,10,$;JPtame;typeRelation;label for the phrase ため;0;01-oct-2012-mno;
133;5,10,$;JPtara;typeOther;label for the phrase たら;0;06-sep-2012-mno;
218;5,10,$;JPtari;typeOther;label for the phrase たり;0;23-oct-2012-mno;
134;5,10,$;JPtaru;typeOther;label for the phrase たる, which can be an Adjectival Noun TARI ending or something else;0;01-aug-2012-mno;
135;5,10,$;JPdarou;typeRelation;label for the word だろう, which can be an Adjectival Noun ending or something else;0;31-jul-2012-mno;
246;5,10,$;JPtsuki;typeOther;label for the phrase つき, which can be a VerbNoun or something else;0;05-dec-2012-mno;
204;5,10,$;JPtsutsu;typeRelation;label for the phrase つつ which can be a conjunctive particle or something else;0;24-jul-2012-mno;
136;5,10,$;JPtte;typeOther;label for the word って, which can be a Verb Ending or something else;0;29-aug-2012-mno;
225;5,10,$;JPtsume;typeOther;label for the word つめ, which can be VerbOther or something else;0;06-oct-2012-mno;
214;5,10,$;JPtsumori;typeOther;label for the phrase つもり;0;19-oct-2012-mno;
137;5,10,$;JPdekinai;typeOther;label for the phrase できない meaning "cannot be done";0;24-sep-2012-mno;
138;5,10,$;JPdesu;typeRelation;label for the word です and its variation such as でした, ですね, etc.;0;31-jul-2012-mno;
227;5,10,$;JPdeno;typeRelation;label for the phrase での, which can act like a preposition or something else;0;29-oct-2012-mno;
321;5,10,$;JPdeha;typeRelation;Label for the phrase では;0;06-nov-2013-mno;
139;5,10,$;JPdemo;typeRelation;label for the word でも, which can be a Conjunction or something else;0;06-sep-2012-mno;
140;5,10,$;JPtoiu;typeBeginEndRelation;label for the word という and its variation such as といった, etc.;0;27-aug-2012-mno;
291;5,10,$;JPtoo;typeRelation;Label for the phrase とお which can be VerbStem or AdjVStem;0;01-feb-2013-mno;
141;5,10,$;JPtokoro;typeOther;label for the word ところ;0;28-aug-2012-mno;
322;5,7,$;JPtoshita;typeRelation;Label for the phrase とした;0;07-nov-2013-mno;
302;5,10,$;JPtoshite;typeRelation;label for the phrase として;0;19-jun-2013-mno;
289;5,10,$;JPtome;typeRelation;Label for the phrase とめ, which can be a VerbOther or something else;0;01-feb-2013-mno;
240;5,10,$;JPtomo;typeOther;label for the phrase とも;0;29-nov-2012-mno;
142;5,10,$;JPtori;typeRelation;label for the phrase とり;0;05-sep-2012-mno;
143;5,10,$;JPnai;typeRelation;label for the word ない which can be an Adjective or Verb/Adjective Suffix;0;20-aug-2012-mno;
245;5,10,$;JPnao;typeRelation;olabel for the word なお;0;04-dec-2012-mno;
144;5,10,$;JPnakattara;typeRelation;label for the phrase なかったら which can be an Adjectival Verb ending or something else;0;02-aug-2012-mno;
196;5,10,$;JPnaku;typeRelation;label for the phrase なく which can be an Adjectival Noun ending or something else;0;10-jul-2012-mno;
299;5,10,$;JPnakuteha;typeRelation;Label for the phrase なくては;0;15-may-2013mno;
145;5,10,$;JPnakereba;typeRelation;label for the phrase なければ which can be an Adjectival Verb ending or something else;0;19-jul-2012-mno;
369;5,10,$;JPnashi;typeAttribute;attribute for なし;0; - #66-mno;
301;5,10,$;JPnatta;typeRelation;Label for the phrase なった;0;29-may-2013-mno;
146;5,10,$;JPnattara;typeRelation;label for the phrase なったら which can be an Adjectival Verb ending or something else;0;02-aug-2012-mno;
147;5,10,13,$;JPnado;typeOther;label for the phrase など which is an Adverbial Particle meaning "and what not";0;17-aug-2012-mno;
213;5,10,$;JPnara;typeRelation;label for the phrase なら which can be a NaruVerb or something else;0;18-oct-2012-mno;
149;5,10,13,$;JPnari;typeOther;label for the word なり which can be a NaruVerb or something else;0;06-sep-2012-mno;
150;5,10,$;JPnarini;typeEndRelation;label for the phrase なりに which means "in one's own way" or something else;0;06-sep-2012-mno;
314;5,10,$;JPnishite;typeOther;Label for the phrase にして;0;26-sep-2013-mno;
312;5,10,$;JPnitsuite;typeRelation;Label for the phrase について;0;08-aug-2013-mno;
151;5,10,$;JPniha;typeRelation;label for the phrase には which can be a preposition or something else;0;19-sep-2012-mno;
230;5,10,$;JPnimo;typeRelation;label for the phrase にも, which can be a preposition or something else;0;01-nov-2012-mno;
270;5,10,$;JPnuka;typeRelation;Label for the phrase ぬか, which can be a VerbOther or something else;0;04-jan-2013-mno;
271;5,10,$;JPnugu;typeRelation;Label for the phrase ぬぐ, which can be a VerbOther or something else;0;04-jan-2013-mno;
253;5,10,$;JPnoke;typeRelation;Label for the phrase のけ, which can be a VerbOther or something else;0;12-dec-2012-mno;
269;5,10,$;JPnoko;typeRelation;Label for the phrase のこ, which can be a VerbOther or something else;0;04-jan-2013-mno;
153;5,10,$;JPnohodo;typeOther;label for the phrase のほど which is normally a NonRelevant phrase;0;28-aug-2012-mno;
247;5,10,$;JPnomi;typeOther;label for the phrase のみ, which can be an Adverbial Particle or a VerbNoun;0;06-dec-2012-mno;
197;5,10,$;JPnowo;typeRelation;labelf ro the phrase のを which is a compound word;0;11-jul-2012-mno;
154;5,10,$;JPhazu;typeOther;label for the phrase はず which can be a Non-Independent Noun or something else;0;04-oct-2012-mno;
268;5,10,$;JPhike;typeRelation;Label for the phrase ひけ, which can be a VerbOther or something else;0;03-jan-2013-mno;
265;5,10,$;JPfuke;typeRelation;Label for the Phrase ふけ, which can be a VerbOther or something else;0;03-jan-2013-mno;
