/* This file requires rewriting of ß to ss in prepro.csv, but no rewriting of ä, ö and ü.
/* It recognizes input with ä, ö, ü as well as with ae, oe, ue.

;;-;KB17, added Hyphen #19-sde;DEKomma;DEHyphen
;;zelluläre;KB14;DEAttradj;
;;zellulären;KB14;DEAttradj;
;;zelte;deel2;DERelCon;
;;zementiert;deel5;DERel;
;;zensiere;KB11,zensieren;DERel;
;;zensieren;KB11,zensieren;DEInf;
;;zensierst;KB11,zensieren;DERel;
;;zensiert;KB11;DERel;
;;zensierte;KB11,zensieren;DEVerbAdj;
;;zensierten;KB11,zensieren;DEVerbAdj;
;;zentral;KB08;DEPredadj;
;;zentralafrikanischen;KB08;DEGeoadj;
;;zentralamerikanische;DTI,zentralamerikanisch;DEGeoadj;
;;zentralamerikanischem;DTI,zentralamerikanisch;DEGeoadj;
;;zentralamerikanischen;DTI,zentralamerikanisch;DEGeoadj;
;;zentralamerikanischer;DTI,zentralamerikanisch;DEGeoadj;
;;zentralamerikanisches;DTI,zentralamerikanisch;DEGeoadj;
;;zentralasiatischen;KB08;DEGeoadj;
;;zentralen;corrected from DERelCon on 20120926;DEAttradj;DECon;
;;zentraler;KB08;DEAdj;
;;zentrales;KB08;DEAttradj;
;;zentralisiere;KB11,zentralisieren;DERel;
;;zentralisieren;;DEInf;
;;zentralisierst;KB11,zentralisieren;DERel;
;;zentralisiert;KB11,zentralisieren;DERel;
;;zentralisierte;KB11,zentralisieren;DEVerbAdj;
;;zentralisierten;KB11,zentralisieren;DEVerbAdj;
;;zentriert;KB11;DERel;
;;zentrum;#20;DEOrgUnit;
;;zerbiss;KB14,zerbeissen;DERel;
;;zerbrach;KB11,zerbrechen;DERel;
;;zerbrachen;KB11,zerbrechen;DERel;
;;zerbreche;KB11,zerbrechen;DERel;
;;zerbrechen;deel3;DEInf;
;;zerbrechliche;DTI,zerbrechlich;DEAttradj;
;;zerbrechlichem;DTI,zerbrechlich;DEAttradj;
;;zerbrechlichen;DTI,zerbrechlich;DEAttradj;
;;zerbrechlicher;DTI,zerbrechlich;DEAdj;
;;zerbrechliches;DTI,zerbrechlich;DEAttradj;
;;zerbrecht;KB11,zerbrechen;DERel;
;;zerbrichst;KB11,zerbrechen;DERel;
;;zerbricht;KB11,zerbrechen;DERel;
;;zerbrochen;deel3;DEPart;
;;zeremoniell;KB08;DEPredadj;
;;zerfällst;KB11,zerfallen;DERel;
;;zerfällt;KB11,zerfallen;DERel;
;;zerfalle;KB11;DERel;
;;zerfallen;KB07;DEInf;
;;zerfallt;KB11,zerfallen;DERel;
;;zerfetzt;KB07;DERel;
;;zerfiel;KB11,zerfallen;DERel;
;;zerfielen;KB11,zerfallen;DERel;
;;zerkleinert;KB14,zerkleinern;DERel;
;;zerknitterte;KB07;DEVerbAdj;
;;zerlege;KB11,zerlegen;DERel;
;;zerlegen;KB11;DEInf;
;;zerlegst;KB11,zerlegen;DERel;
;;zerlegt;deel3;DERel;
;;zerlegte;KB11,zerlegen;DERel;
;;zerlegten;KB11,zerlegen;DERel;
;;zerplatze;KB11,zerplatzen;DERel;
;;zerplatzen;KB11,zerplatzen;DEInf;
;;zerplatzt;KB11,zerplatzen;DERel;
;;zerplatzte;KB11,zerplatzen;DEVerbAdj;
;;zerre;KB11,zerren;DERel;
;;zerrede;KB11,zerreden;DERel;
;;zerreden;deel4;DEInf;
;;zerredest;KB11,zerreden;DERel;
;;zerredet;KB11,zerreden;DERel;
;;zerredete;KB11,zerreden;DERel;
;;zerredeten;KB11,zerreden;DERel;
;;zerreibe;KB12,zerreiben;DERel;
;;zerreiben;KB12,zerreiben;DEInf;
;;zerreibst;KB12,zerreiben;DERel;
;;zerreibt;KB12,zerreiben;DERel;
;;zerren;KB11;DEInf;
;;zerrieb;KB12,zerreiben;DERel;
;;zerrieben;KB12,zerreiben;DERel;
;;zerrissene;KB08;DEAttradj;
;;zerrst;KB11,zerren;DERel;
;;zerrt;KB11,zerren;DERel;
;;zerrte;KB11,zerren;DERel;
;;zerrten;KB11,zerren;DERel;
;;zerrüttet;deel5;DERel;
;;zerrütteten;deel5;DEVerbAdj;
;;zerschlägt;deel2;DERel;
;;zerschlagen;deel2;DERel;
;;zerschnipsele;KB11,zerschnipseln;DERel;
;;zerschnipseln;KB11;DEInf;
;;zerschnipselst;KB11,zerschnipseln;DERel;
;;zerschnipselt;KB11,zerschnipseln;DERel;
;;zerschnipselte;KB11,zerschnipseln;DERel;
;;zerschnipselten;KB11,zerschnipseln;DERel;
;;zerschnitten;deel3;DERel;
;;zersplittert;KB14,zersplittern;DERel;
;;zersprengt;KB14,zersprengen;DERel;
;;zerstöre;;DERel;
;;zerstören;;DEInf;
;;zerstörerische;DTI,zerstörerisch;DEAttradj;
;;zerstörerischem;DTI,zerstörerisch;DEAttradj;
;;zerstörerischen;KB08;DEAttradj;
;;zerstörerischer;DTI,zerstörerisch;DEAttradj;
;;zerstörerisches;DTI,zerstörerisch;DEAttradj;
;;zerstörst;KB11,zerstören;DERel;
;;zerstört;;DERel;
;;zerstörte;deel2;DEVerbAdj;
;;zerstörten;;DEVerbAdj;
;;zerstreue;KB11,zerstreuen;DERel;
;;zerstreuen;deel4;DEInf;
;;zerstreust;KB11,zerstreuen;DERel;
;;zerstreut;KB11,zerstreuen;DERel;
;;zerstreute;KB11,zerstreuen;DEVerbAdj;
;;zerstreuten;KB11,zerstreuen;DEVerbAdj;
;;zerstritten;deel3;DERel;
;;zerstrittenen;KB08;DEAttradj;
;;zerstückelte;deel5;DEVerbAdj;
;;zerstückelten;deel4;DEVerbAdj;
;;zertrümmert;deel3;DERel;
;;zertrümmerten;deel5;DEVerbAdj;
;;zeugen;;DERelCon;
;;zeugt;deel5;DERel;
;;zeugte;KB11;DERel;
;;zeugten;KB11;DERel;
;;ziehe;;DERel;
;;ziehen;;DEInf;
;;ziehenden;KB08;DEAttradj;
;;ziehst;KB11,ziehen;DERel;
;;zieht;;DERel;
;;ziele;deel2;DERelCon;
;;zielen;;DERelCon;
;;zielgerichtet;KB08;DEPredadj;
;;zielst;KB11,zielen;DERel;
;;zielt;deel3;DERel;
;;zielte;KB07;DERel;
;;zielten;deel4;DERel;
;;ziemlich;KB08;DEPredadj;
;;ziemlicher;DTI,ziemlich;DEAttradj;
;;ziere;KB11,zieren;DERel;
;;zieren;;DEInf;
;;zierst;KB11,zieren;DERel;
;;ziert;KB11,zieren;DERel;
;;zierte;KB11,zieren;DERel;
;;zierten;KB11,zieren;DERel;
;;zimmern ob rottweil;DEGeo,KB17;DECon;
;;zimmern unter der burg;DEGeo,KB17;DECon;
;;zinsgünstige;KB08;DEAttradj;
;;zinsgünstigen;KB08;DEAttradj;
;;zinsloses;KB08;DEAttradj;
;;zirka;deel4;DEAdv;DEAdvDegree;
;;zirkuliere;KB11,zirkulieren;DERel;
;;zirkulieren;;DEInf;
;;zirkulierst;KB11,zirkulieren;DERel;
;;zirkuliert;KB11,zirkulieren;DERel;
;;zirkulierte;KB11,zirkulieren;DEVerbAdj;
;;zirkulierten;KB11,zirkulieren;DEVerbAdj;
;;zischen;KB14;DEInf;
;;zischte;KB14,zischen;DERel;
;;zitiere;KB11,zitieren;DERel;
;;zitieren;;DEInf;
;;zitierst;KB11,zitieren;DERel;
;;zitiert;;DERel;
;;zitierte;deel2;DEVerbAdj;
;;zitierten;deel4;DEVerbAdj;
;;zittere;KB11,zittern;DERel;
;;zittern;deel3;DEInf;
;;zitterst;KB11,zittern;DERel;
;;zittert;KB11,zittern;DERel;
;;zitterte;;DERel;
;;zitterten;KB11,zittern;DERel;
;;zivile;KB08;DEAttradj;
;;zivilen;KB08;DEAttradj;
;;ziviler;KB08;DEAttradj;
;;zivilisiert;KB11;DERel;
;;zivilisierte;deel5;DEVerbAdj;
;;zivilisierten;deel5;DEVerbAdj;
;;zivilrechtlich;KB08;DEPredadj;
;;zocke;KB11,zocken;DERel;
;;zocken;KB11,zocken;DEInf;
;;zockst;KB11,zocken;DERel;
;;zockt;KB11,zocken;DERel;
;;zockte;KB11,zocken;DERel;
;;zockten;KB11,zocken;DERel;
;;zögen;deel3;DERel;
;;zögere;KB11,zögern;DERel;
;;zögerlich;KB08;DEPredadj;
;;zögerliche;DTI,zögerlich;DEAttradj;
;;zögerlichem;DTI,zögerlich;DEAttradj;
;;zögerlichen;KB08;DEAttradj;
;;zögerlicher;DTI,zögerlich;DEAdj;
;;zögerliches;DTI,zögerlich;DEAttradj;
;;zögern;deel3;DEInf;
;;zögernd;KB08;DEPredadj;
;;zögernder;KB08;DEAttradj;
;;zögerst;KB11,zögern;DERel;
;;zögert;KB11,zögern;DERel;
;;zögerte;KB11,zögern;DERel;
;;zögerten;KB11;DERel;
;;zog;;DERel;
;;zogen;;DERel;
;;zolle;KB11,zollen;DERel;
;;zollen;KB11,zollen;DEInf;
;;zollfrei;KB08;DEPredadj;
;;zollst;KB11,zollen;DERel;
;;zollt;KB11,zollen;DERel;
;;zollte;;DERel;
;;zollten;KB11,zollen;DERel;
;;zoome;KB11,zoomen;DERel;
;;zoomen;KB11,zoomen;DEInf;
;;zoomst;KB11,zoomen;DERel;
;;zoomt;KB11,zoomen;DERel;
;;zoomte;KB11,zoomen;DERel;
;;zoomten;KB11,zoomen;DERel;
;;zu;;DEZu;
;;zu erwartende;KB16;DEAttradj;
;;zu erwartendem;KB16;DEAttradj;
;;zu erwartenden;KB16;DEAttradj;
;;zu erwartender;KB16;DEAttradj;
;;zu erwartendes;KB16;DEAttradj;
;;zu fuss;KB14;DEPredadj;
;;zu hause;KB11;DECon;
;;zu keiner zeit;#19-sde;DENicht;
;;zu sehr;KB14;DEAdv;DEAdvDegree;
;;zu viel;2016-01-05-sde;DEBeginadj;DEAdjpron;DEIndefpron;
;;zuallererst;deel4;DEAdv;DEAdvNonrelevant;
;;zubaue;DTI,zubauen;DERel;
;;zubauen;DTI,zubauen;DEInf;
;;zubaut;DTI,zubauen;DERel;
;;zubaute;DTI,zubauen;DERel;
;;zubauten;DTI,zubauen;DERel;
;;zubereitet;KB14,zubereiten;DERel;
;;zubillige;KB11,zubilligen;DERel;
;;zubilligen;deel4;DEInf;
;;zubilligst;KB11,zubilligen;DERel;
;;zubilligt;KB11,zubilligen;DERel;
;;zubilligte;KB07;DERel;
;;zubilligten;KB11,zubilligen;DERel;
;;zudem;;DEAdv;DEAdvNonrelevant;
;;zudrehe;KB11,zudrehen;DERel;
;;zudrehen;KB11,zudrehen;DEInf;
;;zudrehst;KB11,zudrehen;DERel;
;;zudreht;KB11,zudrehen;DERel;
;;zudrehte;KB11,zudrehen;DERel;
;;zudrehten;KB11,zudrehen;DERel;
;;züchten;KB14;DEInf;
;;zügig;KB08;DEPredadj;
;;zügige;KB08;DEAttradj;
;;zügigen;KB08;DEAttradj;
;;zügiger;KB08;DEAdj;
;;zueinander;deel3 DEAdv, changed 2014.2-sde;DEAdv;DEVerbteil;
;;zueinanderpassten;KB11;DERel;
;;zünde;KB11,zünden;DERel;
;;zündeln;KB14;DEInf;
;;zünden;deel3;DEInf;
;;zündest;KB11,zünden;DERel;
;;zündet;KB07;DERel;
;;zündete;;DERel;
;;zündeten;deel3;DERel;
;;züricher;KB08;DEGeoadj;
;;zuerkannt;deel5;DEPart;
;;zuerkannte;KB11,zuerkennen;DERel;
;;zuerkannten;KB11;DEVerbAdj;
;;zuerkenne;KB11,zuerkennen;DERel;
;;zuerkennen;KB11;DEInf;
;;zuerkennst;KB11,zuerkennen;DERel;
;;zuerkennt;KB11,zuerkennen;DERel;
;;zuerst;deel1;DEAdv;DEAdvNonrelevant;
;;zufällig;KB08;DEPredadj;
;;zufälligen;KB08;DEAttradj;
;;zufällt;KB11;DERel;
;;zufallen;KB14;DEInf;
;;zufliesse;KB11,zufliessen;DERel;
;;zufliessen;deel4;DEInf;
;;zufliesst;KB11,zufliessen;DERel;
;;zufloss;KB11,zufliessen;DERel;
;;zuflossen;KB11,zufliessen;DERel;
;;zufolge;;DEPrep;
;;zufrieden;KB08;DEPredadj;
;;zufriedene;DTI,zufrieden;DEAttradj;
;;zufriedenem;DTI,zufrieden;DEAttradj;
;;zufriedenen;DTI,zufrieden;DEAttradj;
;;zufriedener;DTI,zufrieden;DEAdj;
;;zufriedenes;DTI,zufrieden;DEAttradj;
;;zufriedengestellt;KB14,zufriedenstellen;DEPart;
;;zufriedenstellend;KB08;DEPredadj;
;;zufüge;KB11,zufügen;DERel;
;;zufügen;KB11,zufügen;DEInf;
;;zufügst;KB11,zufügen;DERel;
;;zufügt;KB11,zufügen;DERel;
;;zufügte;KB11,zufügen;DERel;
;;zufügten;KB11,zufügen;DERel;
;;zuführe;KB11,zuführen;DERel;
;;zuführen;KB11,zuführen;DEInf;
;;zuführst;KB11,zuführen;DERel;
;;zuführt;KB11,zuführen;DERel;
;;zuführte;KB11,zuführen;DERel;
;;zuführten;KB11,zuführen;DERel;
;;zugab;;DERel;
;;zugaben;deel5;DERelCon;
;;zugänglich;KB08;DEPredadj;
;;zugänglichen;KB08;DEAttradj;
;;zugebaut;DTI,zubauen;DEPart;
;;zugebe;KB11,zugeben;DERel;
;;zugeben;deel4;DEInf;
;;zugebilligt;deel4;DEPart;
;;zugebt;KB11,zugeben;DERel;
;;zugedreht;deel5;DEPart;
;;zugeflossen;KB11,zufliessen;DEPart;
;;zugefügt;deel2;DEPart;
;;zugeführt;deel3;DEPart;
;;zugegangen;deel3;DEPart;
;;zugegeben;;DEPart;
;;zugegriffen;KB11,zugreifen;DEPart;
;;zugeguckt;KB11;DEPart;
;;zugehe;KB11,zugehen;DERel;
;;zugehen;deel2;DEInf;
;;zugehörigen;KB08;DEAttradj;
;;zugehört;KB11,zuhören;DEPart;
;;zugehorig;KB14;DEPredadj;
;;zugehst;KB11,zugehen;DERel;
;;zugeht;KB11,zugehen;DERel;
;;zugejubelt;deel4;DEPart;
;;zugekommen;KB11,zukommen;DEPart;
;;zugelassen;deel2;DEPart;
;;zugelassene;KB08;DEAttradj;
;;zugelassenen;KB08;DEAttradj;
;;zugelassener;KB08;DEAttradj;
;;zugelegt;;DEPart;
;;zugeleitet;deel2;DEPart;
;;zugemacht;KB11,zumachen;DEPart;
;;zugemauert;KB11;DEPart;
;;zugemessen;KB11;DEPart;
;;zugemutet;deel3;DEPart;
;;zugenäht;DTI,zunähen;DEPart;
;;zugeneigt;KB11;DEPart;
;;zugenommen;;DEPart;
;;zugeordnet;deel2;DEPart;
;;zugerechnet;deel3;DEPart;
;;zugeredet;KB11,zureden;DEPart;
;;zugesagt;;DEPart;
;;zugesagte;KB08;DEAttradj;
;;zugesagten;KB08;DEAttradj;
;;zugesandt;KB11;DEPart;
;;zugeschaut;KB11,zuschauen;DEPart;
;;zugeschlagen;deel3;DEPart;
;;zugeschnitten;deel4;DEPart;
;;zugeschnittene;KB14;DEAttradj;
;;zugeschoben;deel4;DEPart;
;;zugeschrieben;deel3;DEPart;
;;zugeschriebenen;KB14;DEAttradj;
;;zugesehen;deel5;DEPart;
;;zugesendet;KB11,zusenden;DEPart;
;;zugesetzt;deel5;DEPart;
;;zugesichert;;DEPart;
;;zugespielt;deel3;DEPart;
;;zugespitzt;deel2;DEPart;
;;zugespitzten;KB08;DEAttradj;
;;zugesprochen;deel2;DEPart;
;;zugestand;KB11,zugestehen;DERel;
;;zugestanden;deel2;DEPart;
;;zugestehe;KB11,zugestehen;DERel;
;;zugestehen;deel3;DEInf;
;;zugestehst;KB11,zugestehen;DERel;
;;zugesteht;KB11,zugestehen;DERel;
;;zugestellt;deel2;DEPart;
;;zugesteuert;KB11,zusteuern;DEPart;
;;zugestimmt;;DEPart;
;;zugestochen;KB12,zustechen;DEPart;
;;zugeteilt;deel4;DEPart;
;;zugetragen;KB14,zutragen;DEPart;
;;zugetraut;deel5;DEPart;
;;zugetroffen;KB11,zutreffen;DEPart;
;;zugewanderten;KB14;DEAttradj;
;;zugewandt;KB11;DEPart;
;;zugewann;KB11,zugewinnen;DERelCon;
;;zugewannen;KB11,zugewinnen;DERel;
;;zugewendet;KB11;DEPart;
;;zugewiesen;deel3;DEPart;
;;zugewiesenen;KB08;DEAttradj;
;;zugewinne;deel4;DERel;
;;zugewinnen;deel5;DEInf;
;;zugewinnst;KB11,zugewinnen;DERel;
;;zugewinnt;KB11,zugewinnen;DERel;
;;zugewonnen;KB11,zugewinnen;DEPart;
;;zugezahlt;KB11,zuzahlen;DEPart;
;;zugezogen;deel2;DEPart;
;;zugezogenen;KB14;DEAttradj;
;;zugibst;KB11,zugeben;DERel;
;;zugibt;KB11,zugeben;DERel;
;;zuging;KB11,zugehen;DERel;
;;zugingen;KB11,zugehen;DERel;
;;zugleich;changed AdvTime into AdvTemp 10-12-2015-sde;DEAdv;DEAdvTemp;
;;zugreife;KB11,zugreifen;DERel;
;;zugreifen;deel3;DEInf;
;;zugreifst;KB11,zugreifen;DERel;
;;zugreift;KB11,zugreifen;DERel;
;;zugriff;;DERelCon;
;;zugriffen;KB11,zugreifen;DERel;
;;zugrunde liegende;2014.2-sde;DEAttradj;
;;zugrunde liegendem;2014.2-sde;DEAttradj;
;;zugrunde liegenden;2014.2-sde;DEAttradj;
;;zugrunde liegender;2014.2-sde;DEAttradj;
;;zugrunde liegendes;2014.2-sde;DEAttradj;
;;zugrunde;deel2;DEAdv;DEAdvDirection;
;;zugrundeliegende;KB14;DEAttradj;
;;zugrundeliegendem;2014.2-sde;DEAttradj;
;;zugrundliegenden;KB14;DEAttradj;
;;zugrundeliegendes;2014.2-sde;DEAttradj;
;;zugucke;KB11,zugucken;DERel;
;;zugucken;KB11,zugucken;DEInf;
;;zuguckst;KB11,zugucken;DERel;
;;zuguckt;KB11,zugucken;DERel;
;;zuguckte;KB11,zugucken;DERel;
;;zuguckten;KB11,zugucken;DERel;
;;zugunsten;deel2;DEPrep;
;;zugunsten von;KB16;DEPrep;
;;zuhöre;KB11,zuhören;DERel;
;;zuhören;deel3;DEInf;
;;zuhörst;KB11,zuhören;DERel;
;;zuhört;KB11,zuhören;DERel;
;;zuhörte;KB11,zuhören;DERel;
;;zuhörten;KB11,zuhören;DERel;
;;zujubele;KB11,zujubeln;DERel;
;;zujubeln;KB11,zujubeln;DEInf;
;;zujubelst;KB11,zujubeln;DERel;
;;zujubelt;KB11,zujubeln;DERel;
;;zujubelte;KB11,zujubeln;DERel;
;;zujubelten;KB11,zujubeln;DERel;
;;zukäme;KB11;DERel;
;;zukämen;deel4;DERel;
;;zukam;KB11,zukommen;DERel;
;;zukamen;KB11,zukommen;DERel;
;;zukomme;deel5;DERel;
;;zukommen;;DEInf;
;;zukommst;KB11,zukommen;DERel;
;;zukommt;deel5;DERel;
;;zukünftig;KB08;DEPredadj;
;;zukünftige;KB08;DEAttradj;
;;zukünftigen;KB08;DEAttradj;
;;zukünftiger;KB08;DEAttradj;
;;zukunftsfähig;KB08;DEPredadj;
;;zukunftsfähige;KB08;DEAttradj;
;;zukunftsfähiges;KB08;DEAttradj;
;;zukunftsgerichtete;KB08;DEAttradj;
;;zukunftsorientierten;KB08;DEAttradj;
;;zukunftsträchtigen;KB08;DEAttradj;
;;zukunftsweisende;KB08;DEAttradj;
;;zulässig;KB08;DEPredadj;
;;zulässige;KB08;DEAttradj;
;;zulässigen;KB08;DEAttradj;
;;zulässt;deel3;DERel;
;;zulasse;deel3;DERel;
;;zulassen;deel2;DEInf;
;;zulasst;KB11,zulassen;DERel;
;;zulege;KB11,zulegen;DERel;
;;zulegen;;DEInf;
;;zulegst;KB11,zulegen;DERel;
;;zulegt;KB11,zulegen;DERel;
;;zulegte;deel5;DERel;
;;zulegten;KB11,zulegen;DERel;
;;zuleite;KB11,zuleiten;DERel;
;;zuleiten;KB11,zuleiten;DEInf;
;;zuleitest;KB11,zuleiten;DERel;
;;zuleitet;KB11,zuleiten;DERel;
;;zuleitete;KB11,zuleiten;DERel;
;;zuleiteten;KB11,zuleiten;DERel;
;;zuletzt;deel1, changed AdvTime into AdvTemp 10-12-2015-sde;DEAdv;DEAdvTemp;
;;zuliess;KB11,zulassen;DERel;
;;zuliessen;deel5;DERel;
;;zum;;DEPrepart;
;;zum anderen;KB11;DEAdv;DEAdvNonrelevant;
;;zum beispiel;KB16;DEAdv;DEAdvNonrelevant;
;;zum einen;KB11;DEAdv;DEAdvNonrelevant;
;;zum teil;KB09;DEAdv;DEAdvNonrelevant;
;;zumache;KB11,zumachen;DERel;
;;zumachen;KB07;DEInf;
;;zumachst;KB11,zumachen;DERel;
;;zumacht;KB11,zumachen;DERel;
;;zumachte;KB11,zumachen;DERel;
;;zumachten;KB11,zumachen;DERel;
;;zumal;;DEAdv;DEAdvNonrelevant;
;;zumass;KB11,zumessen;DERel;
;;zumassen;KB11,zumessen;DERel;
;;zumauere;KB11,zumauern;DERel;
;;zumauern;KB11;DEInf;
;;zumauerst;KB11,zumauern;DERel;
;;zumauert;KB11,zumauern;DERel;
;;zumauerte;KB11,zumauern;DERel;
;;zumauerten;KB11,zumauern;DERel;
;;zumeist;deel1;DEAdv;DEAdvNonrelevant;
;;zumesse;KB11,zumessen;DERel;
;;zumessen;KB11,zumessen;DEInf;
;;zumesst;KB11,zumessen;DERel;
;;zumindest;KB07;DEAdv;DEAdvDegree;
;;zumindestens;deel3;DEAdv;DEAdvDegree;
;;zumisst;KB11,zumessen;DERel;
;;zumutbar;KB08;DEPredadj;
;;zumutbare;KB08;DEAttradj;
;;zumutbaren;KB08;DEAttradj;
;;zumute;KB11,zumuten;DERel;
;;zumuten;deel3;DEInf;
;;zumutest;KB11,zumuten;DERel;
;;zumutet;KB11,zumuten;DERel;
;;zumutete;KB11,zumuten;DERel;
;;zumuteten;KB11,zumuten;DERel;
;;zunächst;;DEAdv;DEAdvNonrelevant;
;;zunähe;DTI,zunähen;DERel;
;;zunähen;DTI,zunähen;DEInf;
;;zunäht;DTI,zunähen;DERel;
;;zunähte;DTI,zunähen;DERel;
;;zunähten;DTI,zunähen;DERel;
;;zunahm;KB11;DERel;
;;zunahmen;KB11;DERel;
;;zunehme;deel3;DERel;
;;zunehmen;;DEInf;
;;zunehmend;KB08;DEPredadj;
;;zunehmende;KB08;DEAttradj;
;;zunehmendem;KB08;DEAttradj;
;;zunehmenden;KB08;DEAttradj;
;;zunehmender;KB08;DEAttradj;
;;zunehmt;KB11,zunehmen;DERel;
;;zuneige;KB11,zuneigen;DERel;
;;zuneigen;KB11,zuneigen;DEInf;
;;zuneigst;KB11,zuneigen;DERel;
;;zuneigt;KB11;DERel;
;;zuneigte;KB11,zuneigen;DERel;
;;zuneigten;KB11,zuneigen;DERel;
;;zunimmst;KB11,zunehmen;DERel;
;;zunimmt;deel3;DERel;
;;zuordne;KB11,zuordnen;DERel;
;;zuordnen;KB07;DEInf;
;;zuordnest;KB11,zuordnen;DERel;
;;zuordnet;KB11;DERel;
;;zuordnete;KB11,zuordnen;DERel;
;;zuordneten;KB11;DERel;
;;zupfen;KB14,zupfen;DEInf;
;;zupft;KB14,zupfen;DERel;
;;zupfte;KB14,zupfen;DERel;
;;zupften;KB14,zupfen;DERel;
;;zur;;DEPrepart;
;;zur gleichen zeit;2016-01-11-sde;DEAdv;DEAdvTime;
;;zur selben zeit;2016-01-11-sde;DEAdv;DEAdvTime;
;;zur zeit;KB09, changed AdvTime into AdvTemp 10-12-2015-sde;DEAdv;DEAdvTemp;
;;zurechne;KB11,zurechnen;DERel;
;;zurechnen;KB11;DEInf;
;;zurechnest;KB11,zurechnen;DERel;
;;zurechnet;KB11,zurechnen;DERel;
;;zurechnete;KB11,zurechnen;DERel;
;;zurechneten;KB11,zurechnen;DERel;
;;zurechtgekommen;KB11,zurechtkommen;DEPart;
;;zurechtgelegt;KB11,zurechtlegen;DEPart;
;;zurechtgewiesen;deel5;DEPart;
;;zurechtkam;KB11,zurechtkommen;DERel;
;;zurechtkamen;KB11,zurechtkommen;DERel;
;;zurechtkomme;KB11,zurechtkommen;DERel;
;;zurechtkommen;KB07;DEInf;
;;zurechtkommst;KB11,zurechtkommen;DERel;
;;zurechtkommt;KB11,zurechtkommen;DERel;
;;zurechtlege;KB11,zurechtlegen;DERel;
;;zurechtlegen;KB11,zurechtlegen;DEInf;
;;zurechtlegst;KB11,zurechtlegen;DERel;
;;zurechtlegt;KB11,zurechtlegen;DERel;
;;zurechtlegte;KB11,zurechtlegen;DERel;
;;zurechtlegten;KB11,zurechtlegen;DERel;
;;zurechtweise;KB11,zurechtweisen;DERel;
;;zurechtweisen;KB11,zurechtweisen;DEInf;
;;zurechtweist;KB11,zurechtweisen;DERel;
;;zurechtwies;KB11,zurechtweisen;DERel;
;;zurechtwiesen;KB11,zurechtweisen;DERel;
;;zurechtzukommen;KB11,zurechtkommen;DEZuInf;
;;zurechtzulegen;KB11,zurechtlegen;DEZuInf;
;;zurechtzuweisen;KB11,zurechtweisen;DEZuInf;
;;zurede;KB11,zureden;DERel;
;;zureden;KB11;DEInf;
;;zuredest;KB11,zureden;DERel;
;;zuredet;KB11,zureden;DERel;
;;zuredete;KB11,zureden;DERel;
;;zuredeten;KB11,zureden;DERel;
;;zurückerhältst;KB11, corrected typo 01-03-2013, zurückerhalten;DERel;
;;zurück;;DEAdv;DEVerbteil;
;;zurückbaue;KB11,zurückbauen;DERel;
;;zurückbauen;KB11;DEInf;
;;zurückbaust;KB11,zurückbauen;DERel;
;;zurückbaut;KB11,zurückbauen;DERel;
;;zurückbaute;KB11,zurückbauen;DERel;
;;zurückbauten;KB11,zurückbauen;DERel;
;;zurückbekam;KB11,zurückbekommen;DERel;
;;zurückbekamen;KB11,zurückbekommen;DERel;
;;zurückbekomme;KB11,zurückbekommen;DERel;
;;zurückbekommen;deel4;DEInf;
;;zurückbekommst;KB11,zurückbekommen;DERel;
;;zurückbekommt;KB11,zurückbekommen;DERel;
;;zurückbezahle;KB11,zurückbezahlen;DERel;
;;zurückbezahlen;KB11,zurückbezahlen;DEInf;
;;zurückbezahlst;KB11,zurückbezahlen;DERel;
;;zurückbezahlt;deel5;DEPart;
;;zurückbezahlte;KB11,zurückbezahlen;DERel;
;;zurückbezahlten;KB11,zurückbezahlen;DERel;
;;zurückbleibe;KB11,zurückbleiben;DERel;
;;zurückbleiben;deel3;DEInf;
;;zurückbleibst;KB11,zurückbleiben;DERel;
;;zurückbleibt;deel5;DERel;
;;zurückblicke;KB11,zurückblicken;DERel;
;;zurückblicken;deel5;DEInf;
;;zurückblickst;KB11,zurückblicken;DERel;
;;zurückblickt;KB11,zurückblicken;DERel;
;;zurückblickte;KB11,zurückblicken;DERel;
;;zurückblickten;KB11,zurückblicken;DERel;
;;zurückblieb;KB11,zurückbleiben;DERel;
;;zurückblieben;KB11,zurückbleiben;DERel;
;;zurückbrachte;KB11,zurückbringen;DERel;
;;zurückbrachten;KB11,zurückbringen;DERel;
;;zurückbringe;KB11,zurückbringen;DERel;
;;zurückbringen;deel4;DEInf;
;;zurückbringst;KB11,zurückbringen;DERel;
;;zurückbringt;KB11,zurückbringen;DERel;
;;zurückdränge;KB11,zurückdrängen;DERel;
;;zurückdrängen;deel4;DEInf;
;;zurückdrängst;KB11,zurückdrängen;DERel;
;;zurückdrängt;KB11,zurückdrängen;DERel;
;;zurückdrängte;KB11,zurückdrängen;DERel;
;;zurückdrängten;KB11,zurückdrängen;DERel;
;;zurückdrehe;KB11,zurückdrehen;DERel;
;;zurückdrehen;deel5;DEInf;
;;zurückdrehst;KB11,zurückdrehen;DERel;
;;zurückdreht;KB11,zurückdrehen;DERel;
;;zurückdrehte;KB11,zurückdrehen;DERel;
;;zurückdrehten;KB11,zurückdrehen;DERel;
;;zurückerhält;KB11,zurückerhalten;DERel;
;;zurückerhalte;KB11,zurückerhalten;DERel;
;;zurückerhalten;deel4;DEInf;
;;zurückerhaltet;KB11,zurückerhalten;DERel;
