/* This file requires rewriting of ß to ss in prepro.csv, but no rewriting of ä, ö and ü.
/* It recognizes input with ä, ö, ü as well as with ae, oe, ue.

;;-;KB17, added Hyphen #19-sde;DEKomma;DEHyphen
;;abdeckt;KB11;DERel;
;;abdeckte;KB11,abdecken;DERel;
;;abdeckten;KB11,abdecken;DERel;
;;abdichte;KB11,abdichten;DERel;
;;abdichten;KB11,abdichten;DEInf;
;;abdichtest;KB11,abdichten;DERel;
;;abdichtet;KB11,abdichten;DERel;
;;abdichtete;KB11,abdichten;DERel;
;;abdichteten;KB11,abdichten;DERel;
;;abdränge;KB11,abdrängen;DERel;
;;abdrängen;KB11,abdrängen;DEInf;
;;abdrängst;KB11,abdrängen;DERel;
;;abdrängt;KB11,abdrängen;DERel;
;;abdrängte;KB11,abdrängen;DERel;
;;abdrängten;KB11,abdrängen;DERel;
;;abdrehe;KB11,abdrehen;DERel;
;;abdrehen;KB11,abdrehen;DEInf;
;;abdrehst;KB11,abdrehen;DERel;
;;abdreht;KB11,abdrehen;DERel;
;;abdrehte;KB11,abdrehen;DERel;
;;abdrehten;KB11,abdrehen;DERel;
;;abdrucke;KB11,abdrucken;DERel;
;;abdrucken;KB11,abdrucken;DEInf;
;;abdruckst;KB11,abdrucken;DERel;
;;abdruckt;KB11,abdrucken;DERel;
;;abdruckte;KB11,abdrucken;DERel;
;;abdruckten;KB11,abdrucken;DERel;
;;abebben;DTI,abebben;DEInf;
;;abebbt;DTI,abebben;DERel;
;;abebbte;DTI,abebben;DERel;
;;abebbten;DTI,abebben;DERel;
;;abendländischen;KB08;DEAttradj;
;;abendländischer;KB14;DEAttradj;
;;abendlichen;KB08;DEAttradj;
;;abenteuerlich;KB08;DEPredadj;
;;abenteuerliche;DTI,abenteuerlich;DEAttradj;
;;abenteuerlichem;DTI,abenteuerlich;DEAttradj;
;;abenteuerlichen;KB08;DEAttradj;
;;abenteuerlicher;DTI,abenteuerlich;DEAdj;
;;abenteuerliches;DTI,abenteuerlich;DEAttradj;
/*;;aber;;DEAndOrBut; - replaced by rules #19-sde
;;aberkannt;deel2;DEPart;
;;aberkannte;KB11,aberkennen;DEVerbAdj;
;;aberkannten;KB11,aberkennen;DEVerbAdj;
;;aberkenne;KB11,aberkennen;DERel;
;;aberkennen;KB11,aberkennen;DEInf;
;;aberkennst;KB11,aberkennen;DERel;
;;aberkennt;KB11,aberkennen;DERel;
;;abermals;deel2, changed AdvFreq into AdvTemp 14-12-2015-sde;DEAdv;DEAdvTemp;
;;aberwitzig;KB08;DEPredadj;
;;abfackeln;KB14,abfackeln;DEInf;
;;abfackelt;KB14,abfackeln;DERel;
;;abfackelte;KB14,abfackeln;DERel;
;;abfackelten;KB14,abfackeln;DERel;
;;abfährst;KB11,abfahren;DERel;
;;abfährt;KB11,abfahren;DERel;
;;abfälle;deel2;DERelCon;
;;abfällst;KB11,abfallen;DERel;
;;abfällt;KB11,abfallen;DERel;
;;abfängst;KB11,abfangen;DERel;
;;abfängt;KB11,abfangen;DERel;
;;abfahre;KB11,abfahren;DERel;
;;abfahren;deel5;DEInf;
;;abfahrt;KB11,abfahren;DERelCon;
;;abfalle;KB11,abfallen;DERel;
;;abfallen;KB11;DEInf;
;;abfallt;KB11,abfallen;DERel;
;;abfange;KB11,abfangen;DERel;
;;abfangen;KB07;DEInf;
;;abfangt;KB11,abfangen;DERel;
;;abfasse;KB11,abfassen;DERel;
;;abfassen;KB11,abfassen;DEInf;
;;abfasst;KB11,abfassen;DERel;
;;abfasste;KB11,abfassen;DERel;
;;abfassten;KB11,abfassen;DERel;
;;abfedere;KB11,abfedern;DERel;
;;abfedern;deel4;DEInf;
;;abfederst;KB11,abfedern;DERel;
;;abfedert;KB11,abfedern;DERel;
;;abfederte;KB11,abfedern;DERel;
;;abfederten;KB11,abfedern;DERel;
;;abfertige;KB11,abfertigen;DERel;
;;abfertigen;deel5;DEInf;
;;abfertigst;KB11,abfertigen;DERel;
;;abfertigt;KB11,abfertigen;DERel;
;;abfertigte;KB11,abfertigen;DERel;
;;abfertigten;KB11,abfertigen;DERel;
;;abfeuere;KB11,abfeuern;DERel;
;;abfeuern;KB11,abfeuern;DEInf;
;;abfeuerst;KB11,abfeuern;DERel;
;;abfeuert;KB11,abfeuern;DERel;
;;abfeuerte;KB11,abfeuern;DERel;
;;abfeuerten;KB11,abfeuern;DERel;
;;abfiel;KB11,abfallen;DERel;
;;abfielen;KB11,abfallen;DERel;
;;abfinde;KB11,abfinden;DERel;
;;abfinden;deel2;DEInf;
;;abfindest;KB11,abfinden;DERel;
;;abfindet;KB11,abfinden;DERel;
;;abfindete;KB11,abfinden;DERel;
;;abfindeten;KB11,abfinden;DERel;
;;abfing;KB11,abfangen;DERel;
;;abfingen;KB11,abfangen;DERel;
;;abfische;KB11,abfischen;DERel;
;;abfischen;KB11,abfischen;DEInf;
;;abfischst;KB11,abfischen;DERel;
;;abfischt;KB11,abfischen;DERel;
;;abfischte;KB11,abfischen;DERel;
;;abfischten;KB11,abfischen;DERel;
;;abfliege;KB11,abfliegen;DERel;
;;abfliegen;deel5;DEInf;
;;abfliegst;KB11,abfliegen;DERel;
;;abfliegt;KB11,abfliegen;DERel;
;;abfliesse;KB11,abfliessen;DERel;
;;abfliessen;deel4;DEInf;
;;abfliesst;KB11,abfliessen;DERel;
;;abflog;KB11,abfliegen;DERel;
;;abflogen;KB11,abfliegen;DERel;
;;abfloss;KB11,abfliessen;DERel;
;;abflossen;KB11,abfliessen;DERel;
;;abfrage;deel4;DERel;
;;abfragen;deel3;DEInf;
;;abfragst;KB11,abfragen;DERel;
;;abfragt;KB11,abfragen;DERel;
;;abfragte;KB11,abfragen;DERel;
;;abfragten;KB11,abfragen;DERel;
;;abführe;KB11,abführen;DERel;
;;abführen;deel3;DEInf;
;;abführst;KB11,abführen;DERel;
;;abführt;KB11,abführen;DERel;
;;abführte;KB11,abführen;DERel;
;;abführten;KB11,abführen;DERel;
;;abfülle;KB11,abfüllen;DERel;
;;abfüllen;KB11,abfüllen;DEInf;
;;abfüllst;KB11,abfüllen;DERel;
;;abfüllt;KB11,abfüllen;DERel;
;;abfüllte;KB11,abfüllen;DERel;
;;abfüllten;KB11,abfüllen;DERel;
;;abfuhr;deel3;DERelCon;
;;abfuhren;KB11,abfahren;DERelCon;
;;abgab;;DERel;
;;abgaben;;DERelCon;
;;abgalt;KB11,abgelten;DERel;
;;abgalten;KB11,abgelten;DERel;
;;abgeändert;KB11,abändern;DEPart;
;;abgearbeitet;deel4;DEPart;
;;abgebaut;;DEPart;
;;abgebe;deel4;DERel;
;;abgeben;;DEInf;
;;abgebildet;deel3;DEPart;
;;abgeboden;KB11,abbiegen;DEPart;
;;abgebracht;KB11,abbringen;DEPart;
;;abgebrannt;;DEPart;
;;abgebrannte;KB08;DEAttradj;
;;abgebrannten;KB08;DEAttradj;
;;abgebrannter;KB08;DEAttradj;
;;abgebremst;deel4;DEPart;
;;abgebrochen;;DEPart;
;;abgebrochene;KB08;DEAttradj;
;;abgebrochenen;KB08;DEAttradj;
;;abgebt;KB11,abgeben;DERel;
;;abgebucht;deel4;DEPart;
;;abgedeckt;deel2;DEPart;
;;abgedichtet;deel3;DEPart;
;;abgedrängt;deel3;DEPart;
;;abgedreht;KB11,abdrehen;DEPart;
;;abgedruckt;deel3;DEPart;
;;abgeebbt;DTI,abebben;DEPart;
;;abgefahren;deel4;DEPart;
;;abgefallen;KB11,abfallen;DEPart;
;;abgefallene;DTI,abgefallen;DEAttradj;
;;abgefallenem;DTI,abgefallen;DEAttradj;
;;abgefallenen;DTI,abgefallen;DEAttradj;
;;abgefallener;DTI,abgefallen;DEAttradj;
;;abgefangen;deel3;DEPart;
;;abgefasst;KB11,abfassen;DEPart;
;;abgefedert;KB11;DEPart;
;;abgefertigt;deel3;DEPart;
;;abgefeuert;deel3;DEPart;
;;abgefischt;KB11,abfischen;DEPart;
;;abgeflogen;deel3;DEPart;
;;abgeflossen;KB11,abfliessen;DEPart;
;;abgefragt;deel3;DEPart;
;;abgeführt;deel3;DEPart;
;;abgefüllt;KB11,abfüllen;DEPart;
;;abgefunden;deel4;DEPart;
;;abgegangen;deel5;DEPart;
;;abgegeben;;DEPart;
;;abgegebene;KB14;DEAttradj;
;;abgegebenen;KB08;DEAttradj;
;;abgeglichen;deel4;DEPart;
;;abgegolten;deel3;DEPart;
;;abgegraben;KB11,abgraben;DEPart;
;;abgegrenzt;deel4;DEPart;
;;abgehängt;KB11,abhängen;DEPart;
;;abgehakt;KB11,abhaken;DEPart;
;;abgehalten;deel2;DEPart;
;;abgehandelt;KB11,abhandeln;DEPart;
;;abgehe;KB11,abgehen;DERel;
;;abgehen;KB11,abgehen;DEInf;
;;abgehoben;deel2;DEPart;
;;abgehört;deel2;DEPart;
;;abgehörte;KB08;DEAttradj;
;;abgehörten;KB08;DEAttradj;
;;abgeholfen;KB11,abhelfen;DEPart;
;;abgeholt;deel2;DEPart;
;;abgeholzte;DTI,abgeholzt;DEAttradj;
;;abgeholztem;DTI,abgeholzt;DEAttradj;
;;abgeholzten;DTI,abgeholzt;DEAttradj;
;;abgeholzter;DTI,abgeholzt;DEAttradj;
;;abgeholztes;DTI,abgeholzt;DEAttradj;
;;abgehst;KB11,abgehen;DERel;
;;abgeht;KB11,abgehen;DERel;
;;abgekauft;deel5;DEPart;
;;abgeklärt;KB11,abklären;DEPart;
;;abgeklopft;KB11,abklopfen;DEPart;
;;abgeknickt;KB11,abknicken;DEPart;
;;abgekocht;KB11,abkochen;DEPart;
;;abgekommen;deel2;DEPart;
;;abgekoppelt;deel2;DEPart;
;;abgekühlt;deel5;DEPart;
;;abgekürzt;KB11;DEPart;
;;abgeladen;deel4;DEPart;
;;abgelagert;KB11,ablagern;DEPart;
;;abgelassen;KB08;DEPredadj;
;;abgelaufen;deel2;DEPart;
;;abgelaufene;KB08;DEAttradj;
;;abgelaufenen;KB08;DEAttradj;
;;abgelaufenes;KB08;DEAttradj;
;;abgelebt;KB11,ableben;DEPart;
;;abgelegenen;KB08;DEAttradj;
;;abgelegt;;DEPart;
;;abgelehnt;;DEPart;
;;abgelehnte;KB08;DEAttradj;
;;abgelehnten;KB08;DEAttradj;
;;abgelehnter;KB08;DEAttradj;
;;abgeleisten;KB11,ableisten;DEPart;
;;abgeleistet;KB07;DEPart;
;;abgeleitet;deel4;DEPart;
;;abgeleitete;2014.2-sde;DEAttradj;
;;abgeleitetem;2014.2-sde;DEAttradj;
;;abgeleiteten;2014.2-sde;DEAttradj;
;;abgeleiteter;2014.2-sde;DEAttradj;
;;abgeleitetes;2014.2-sde;DEAttradj;
;;daraus abgeleitete;2014.2-sde;DEAttradj;
;;daraus abgeleitetem;2014.2-sde;DEAttradj;
;;daraus abgeleiteten;2014.2-sde;DEAttradj;
;;daraus abgeleiteter;2014.2-sde;DEAttradj;
;;daraus abgeleitetes;2014.2-sde;DEAttradj;
;;abgelenkt;deel4;DEPart;
;;abgelesen;KB11;DEPart;
;;abgelichtet;KB07;DEPart;
;;abgeliefert;deel4;DEPart;
;;abgelöst;;DEPart;
;;abgelösten;KB08;DEAttradj;
;;abgelte;KB11,abgelten;DERel;
;;abgelten;KB11,abgelten;DEInf;
;;abgeltet;KB11,abgelten;DERel;
;;abgemagert;deel5;DEPart;
;;abgemahnt;deel3;DEPart;
;;abgemeldet;deel5;DEPart;
;;abgemessen;KB14,abmessen;DEPart;
;;abgemildert;deel4;DEPart;
;;abgemopst;KB11,abmopsen;DEPart;
;;abgenickt;KB11,abnicken;DEPart;
;;abgenommen;;DEPart;
;;abgeordnet;KB11,abordnen;DEPart;
;;abgeordneten;KB08;DEAttradj;
;;abgeprallt;KB11,abprallen;DEPart;
;;abgepumpt;deel3;DEPart;
;;abgeraten;deel3;DEPart;
;;abgerechnet;deel2;DEPart;
;;abgereist;deel3;DEPart;
;;abgeriegelt;deel3;DEPart;
;;abgerissen;;DEPart;
;;abgerissene;KB08;DEAttradj;
;;abgerollt;KB11,abrollen;DEPart;
;;abgerückt;deel2;DEPart;
;;abgerüstet;KB11,abrüsten;DEPart;
;;abgerufen;deel3;DEPart;
;;abgerundet;KB11,abrunden;DEPart;
;;abgerutscht;deel3;DEPart;
;;abgesagt;;DEPart;
;;abgeschätzt;KB11,abschätzen;DEPart;
;;abgeschafft;;DEPart;
;;abgeschaltet;;DEPart;
;;abgeschalteten;deel4;DEAttradj;
;;abgeschaut;KB11,abschauen;DEPart;
;;abgeschickt;deel5;DEPart;
;;abgeschirmt;deel3;DEPart;
;;abgeschlagen;deel4;DEPart;
;;abgeschleppt;deel4;DEPart;
;;abgeschlossen;;DEPart;
;;abgeschlossene;KB08;DEAttradj;
;;abgeschlossenem;DTI,abgeschlossen;DEAttradj;
;;abgeschlossenen;KB08;DEAttradj;
;;abgeschlossener;DTI,abgeschlossen;DEAttradj;
;;abgeschlossenes;DTI,abgeschlossen;DEAttradj;
;;abgeschmettert;KB14,abschmettern;DEPart;
;;abgeschmolzen;KB11,abschmelzen;DEPart;
;;abgeschnitten;;DEPart;
;;abgeschoben;;DEPart;
;;abgeschobene;KB08;DEAttradj;
;;abgeschobenen;KB08;DEAttradj;
;;abgeschöpft;KB11,abschöpfen;DEPart;
;;abgeschossen;deel2;DEPart;
;;abgeschottet;KB11,abschotten;DEPart;
